Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP010025,Male,Yes,2,Graduate,Yes,5500,1590,109,,1,Semiurban,Y
LP010026,Male,,0,Not Graduate,No,8000,4750,168,240,,Rural,N
LP010027,Male,Yes,2,Graduate,Yes,4950,3022,35,,1,Semiurban,N
LP010028,,No,0,Graduate,No,3083,2791,180,300,,Rural,Y
LP010029,,Yes,3,Graduate,Yes,7333,5625,330,180,,Urban,N
LP010030,,,3,Not Graduate,,3029,4196,35,60,0,Rural,Y
LP010031,Female,No,,Not Graduate,Yes,4583,800,58,60,1,Urban,Y
LP010032,,Yes,2,Not Graduate,No,15000,983,97,240,0,Urban,Y
LP010033,Female,Yes,0,Not Graduate,No,3800,4300,122,120,1,Semiurban,Y
LP010034,Female,No,3,Graduate,,3522,3333,35,240,,Urban,Y
LP010035,,No,1,Graduate,No,2950,4417,182,240,1,Urban,N
LP010036,Female,Yes,3,Not Graduate,Yes,2600,1083,85,60,,Semiurban,Y
LP010037,,,1,Not Graduate,Yes,3416,2500,74,480,1,Rural,N
LP010038,,Yes,0,Not Graduate,,5266,736,83,240,0,Rural,Y
LP010039,Male,No,3,Not Graduate,No,2666,1800,192,240,0,Urban,N
LP010040,,Yes,3,Graduate,,2014,5701,128,,,Rural,Y
LP010041,Male,No,0,Not Graduate,Yes,2060,7210,160,480,0,Urban,Y
LP010042,,No,3,Not Graduate,,2833,1213,495,60,,Rural,Y
LP010043,,,1,Not Graduate,No,2708,1250,155,120,,Rural,N
LP010044,Male,No,3,Not Graduate,,4843,5250,255,360,,Rural,N
LP010045,Male,No,2,Not Graduate,No,2014,1213,44,60,1,Urban,N
LP010046,,,,Not Graduate,No,2600,3066,255,60,,Semiurban,Y
LP010047,Female,No,1,Not Graduate,Yes,3167,3022,50,240,0,Rural,Y
LP010048,Male,,2,Graduate,Yes,2483,700,136,,1,Rural,N
LP010049,Female,,0,Graduate,Yes,2500,1666,168,300,0,Rural,Y
LP010050,Female,No,1,Graduate,No,2071,5625,58,84,,Urban,N
LP010051,Female,No,,Graduate,,2200,900,275,,,Semiurban,Y
LP010052,Male,Yes,,Graduate,No,2799,3806,122,300,0,Urban,N
LP010053,Female,,0,Graduate,Yes,3416,1964,125,240,1,Rural,N
LP010054,Male,Yes,0,Not Graduate,Yes,3333,985,176,240,0,Urban,Y
LP010055,Female,No,1,Not Graduate,,2340,1083,88,120,,Rural,N
LP010056,,Yes,3,Graduate,Yes,5000,2853,350,300,1,Rural,Y
LP010057,,,0,Not Graduate,Yes,2483,2133,59,180,,Urban,Y
LP010058,Male,Yes,3,Graduate,Yes,3250,1451,200,84,,Rural,Y
LP010059,,,2,Not Graduate,,2000,1666,225,120,0,Rural,N
LP010060,,No,,Not Graduate,No,3522,2416,128,,,Semiurban,N
LP010061,Female,No,3,Not Graduate,Yes,1000,800,106,,0,Urban,N
LP010062,Male,,,Not Graduate,,2147,2667,140,300,1,Urban,Y
LP010063,Female,No,3,Not Graduate,Yes,12841,1640,312,,,Rural,Y
LP010064,Female,No,2,Not Graduate,,2853,900,267,180,,Rural,N
LP010065,Female,No,0,Graduate,Yes,2483,1800,187,240,1,Urban,Y
LP010066,Female,No,2,Graduate,,4583,4983,74,300,0,Urban,Y
LP010067,Female,,0,Not Graduate,Yes,4000,2142,139,,,Urban,N
LP010068,Female,Yes,0,Graduate,No,3333,2667,114,240,1,Rural,N
LP010069,Female,Yes,,Not Graduate,Yes,3666,3369,700,480,,Semiurban,Y
LP010070,Male,No,2,Graduate,,5166,2667,80,60,0,Semiurban,Y
LP010071,,Yes,3,Not Graduate,Yes,2147,2250,315,240,0,Rural,N
LP010072,Female,Yes,2,Graduate,No,8666,1300,182,60,0,Rural,N
LP010073,Female,No,,Not Graduate,Yes,2000,7750,122,300,0,Rural,Y
LP010074,Female,No,0,Graduate,,2666,1590,47,360,1,Urban,Y
LP010075,Female,Yes,,Not Graduate,,3000,1929,350,240,,Rural,Y
LP010076,Female,,1,Graduate,No,3366,3806,182,60,1,Urban,N
LP010077,Female,No,1,Not Graduate,,3073,2667,131,300,0,Semiurban,Y
LP010078,,,3,Not Graduate,Yes,4843,3750,113,240,0,Rural,Y
LP010079,,Yes,,Not Graduate,Yes,2147,4196,25,300,0,Rural,Y
LP010080,Female,No,3,Graduate,Yes,2200,800,113,360,0,Urban,Y
LP010081,,,3,Graduate,,6080,3333,81,360,,Urban,Y
LP010082,Male,No,1,Graduate,Yes,7333,5266,114,84,0,Urban,Y
LP010083,Female,Yes,3,Not Graduate,Yes,1000,983,275,120,,Semiurban,N
LP010084,Male,,1,Graduate,Yes,6400,2083,140,300,0,Semiurban,N
LP010085,Male,Yes,0,Not Graduate,No,13650,3449,66,120,,Rural,N
LP010086,Female,Yes,,Graduate,,2853,983,267,84,,Rural,Y
LP010087,,No,3,Graduate,,2395,4300,110,180,0,Urban,N
LP010088,Male,,1,Graduate,,4843,2853,112,240,1,Semiurban,Y
LP010089,Female,Yes,2,Graduate,No,2666,1451,72,,1,Rural,Y
LP010090,Male,Yes,3,Not Graduate,,10000,5654,50,120,1,Urban,Y
LP010091,Male,,0,Graduate,No,2833,1590,228,120,1,Urban,Y
LP010092,Male,Yes,0,Graduate,No,1625,0,133,300,1,Semiurban,Y
LP010093,Male,Yes,2,Not Graduate,,2014,1213,168,240,0,Semiurban,N
LP010094,,,1,Not Graduate,Yes,3800,0,176,300,0,Rural,N
LP010095,Male,,3,Graduate,Yes,2577,3583,120,360,0,Rural,N
LP010096,Male,,1,Graduate,,150,7210,98,120,0,Urban,Y
LP010097,Male,,0,Not Graduate,,6250,2330,118,240,0,Urban,N
LP010098,,No,1,Not Graduate,No,1000,2133,225,480,0,Urban,Y
LP010099,Male,,0,Not Graduate,,6747,3369,128,180,,Rural,N
LP010100,Male,No,1,Graduate,No,2266,6250,275,84,,Semiurban,N
LP010101,,No,2,Graduate,,3600,1459,267,180,0,Rural,N
LP010102,,No,,Graduate,Yes,7200,2500,267,84,0,Semiurban,N
LP010103,,Yes,2,Not Graduate,Yes,2275,1868,158,120,,Rural,N
LP010104,Male,No,2,Not Graduate,,7333,3750,208,180,,Rural,N
LP010105,,No,,Not Graduate,No,4166,2750,290,180,0,Semiurban,Y
LP010106,,Yes,,Graduate,Yes,2060,5654,59,,,Rural,Y
LP010107,Male,Yes,3,Not Graduate,No,2301,0,96,300,1,Rural,Y
LP010108,,Yes,3,Graduate,,2266,2142,128,,1,Urban,Y
LP010109,Male,,2,Not Graduate,,6080,3022,600,180,1,Semiurban,Y
LP010110,Female,Yes,2,Graduate,Yes,150,1516,267,,,Semiurban,N
LP010111,,Yes,0,Graduate,,2479,5750,160,,0,Urban,Y
LP010112,Female,No,0,Not Graduate,Yes,12000,900,67,300,0,Semiurban,Y
LP010113,Male,Yes,3,Graduate,No,2340,1083,120,240,0,Urban,Y
LP010114,,,3,Not Graduate,Yes,2132,2531,125,120,,Semiurban,Y
LP010115,Male,Yes,0,Graduate,Yes,2600,4196,166,240,,Semiurban,Y
LP010116,Female,,0,Not Graduate,No,4300,1843,349,120,1,Semiurban,Y
LP010117,Male,Yes,1,Not Graduate,Yes,5166,800,139,240,,Semiurban,Y
LP010118,,Yes,1,Graduate,Yes,2340,2330,330,240,1,Urban,Y
LP010119,,Yes,0,Not Graduate,,3522,4866,350,84,1,Urban,Y
LP010120,Female,Yes,1,Graduate,No,10513,6000,225,,0,Semiurban,N
LP010121,Male,,,Not Graduate,Yes,3250,900,210,360,,Rural,Y
LP010122,,,3,Not Graduate,No,5316,983,120,300,0,Urban,Y
LP010123,Female,No,3,Not Graduate,No,5667,2045,95,240,0,Semiurban,N
LP010124,,,0,Not Graduate,Yes,2340,2000,25,180,,Urban,N
LP010125,,Yes,2,Graduate,,5316,1330,150,480,,Rural,Y
LP010126,Male,No,0,Not Graduate,No,2340,4167,150,84,1,Rural,Y
LP010127,,No,1,Not Graduate,Yes,3200,3066,104,480,1,Rural,Y
LP010128,Male,No,2,Graduate,No,2395,3583,312,60,1,Semiurban,N
LP010129,,Yes,1,Graduate,,3846,1666,152,60,1,Semiurban,Y
LP010130,Female,,,Graduate,,5667,4300,137,120,0,Rural,N
LP010131,,Yes,1,Graduate,,2666,3369,96,240,0,Urban,N
LP010132,Male,No,,Graduate,Yes,3800,2383,106,300,,Urban,N
LP010133,Male,Yes,,Graduate,Yes,5166,3333,208,180,1,Rural,N
LP010134,Female,Yes,1,Not Graduate,,3083,736,128,360,1,Semiurban,N
LP010135,,,1,Graduate,Yes,2583,4196,100,360,1,Urban,Y
LP010136,,,,Not Graduate,,2853,1843,208,84,0,Urban,Y
LP010137,Female,No,2,Graduate,Yes,2473,2330,200,84,,Urban,N
LP010138,,Yes,,Not Graduate,,2645,500,228,84,0,Semiurban,N
LP010139,,Yes,3,Not Graduate,No,5786,2750,58,84,,Rural,N
LP010140,Male,,,Not Graduate,,3416,1843,128,,,Semiurban,N
LP010141,,Yes,2,Graduate,,3200,1213,176,240,0,Urban,Y
LP010142,,Yes,3,Graduate,Yes,2708,2133,370,480,0,Rural,N
LP010143,Female,Yes,0,Graduate,Yes,2833,900,285,240,,Semiurban,N
LP010144,Female,,0,Graduate,Yes,2439,2853,109,240,0,Rural,Y
LP010145,Male,No,2,Not Graduate,Yes,2473,700,490,60,0,Urban,Y
LP010146,,No,,Graduate,Yes,2853,983,187,300,,Semiurban,Y
LP010147,,Yes,1,Not Graduate,Yes,12841,5625,350,180,,Rural,Y
LP010148,,No,2,Not Graduate,No,2000,6250,120,120,1,Semiurban,N
LP010149,Male,,3,Graduate,,3500,3263,275,300,0,Urban,N
LP010150,Male,,3,Graduate,,2132,4983,155,84,,Rural,N
LP010151,Female,No,0,Graduate,,5266,6250,165,480,0,Urban,N
LP010152,Male,No,3,Not Graduate,No,3000,2045,44,60,0,Rural,N
LP010153,,Yes,2,Graduate,,2833,2900,312,,,Urban,N
LP010154,,No,3,Not Graduate,No,10000,5701,308,480,1,Urban,N
LP010155,Male,Yes,2,Graduate,No,2491,3333,330,60,,Semiurban,N
LP010156,,Yes,1,Not Graduate,No,2491,1030,210,,,Urban,N
LP010157,,,0,Graduate,,2833,4196,114,84,0,Semiurban,Y
LP010158,Male,,3,Graduate,No,2491,2383,78,120,1,Urban,N
LP010159,Male,,2,Not Graduate,,2395,2330,125,84,,Urban,Y
LP010160,,,,Graduate,,150,2133,168,480,0,Urban,Y
LP010161,,No,0,Graduate,Yes,3333,2133,176,84,,Rural,Y
LP010162,,,1,Graduate,Yes,1000,2791,349,84,0,Semiurban,Y
LP010163,Female,No,2,Graduate,No,5786,4000,76,60,,Rural,N
LP010164,Female,,1,Graduate,No,2479,2383,133,360,1,Semiurban,Y
LP010165,Female,No,1,Graduate,,4843,700,97,84,,Urban,Y
LP010166,Male,Yes,3,Graduate,No,3167,3263,175,240,0,Rural,N
LP010167,Female,No,3,Not Graduate,No,8333,1213,44,240,,Semiurban,Y
LP010168,Male,No,2,Not Graduate,,1977,3583,370,120,1,Urban,N
LP010169,Male,,,Graduate,No,2301,7210,495,120,1,Semiurban,N
LP010170,Female,No,2,Graduate,No,2577,3066,116,120,1,Semiurban,N
LP010171,Female,Yes,,Graduate,,3052,800,290,300,1,Urban,N
LP010172,Female,Yes,1,Not Graduate,,150,900,376,180,0,Rural,Y
LP010173,,,0,Not Graduate,Yes,5000,4167,44,120,,Urban,N
LP010174,Female,Yes,2,Graduate,,6400,5750,133,84,1,Rural,Y
LP010175,,No,2,Not Graduate,Yes,3189,2142,300,120,,Semiurban,Y
LP010176,Male,Yes,,Graduate,No,6250,1250,152,180,0,Semiurban,N
LP010177,,,1,Graduate,,20166,2500,240,300,,Semiurban,Y
LP010178,Female,No,1,Graduate,,2718,5250,290,180,,Rural,N
LP010179,Male,,,Graduate,,2927,1330,55,480,1,Urban,Y
LP010180,Male,No,1,Not Graduate,No,4166,1500,98,120,1,Rural,Y
LP010181,Male,Yes,3,Not Graduate,Yes,1977,5063,66,120,0,Semiurban,Y
LP010182,,,0,Graduate,No,2301,2667,81,120,,Semiurban,Y
LP010183,Female,,2,Not Graduate,No,2200,4866,376,480,0,Urban,N
LP010184,Male,No,0,Not Graduate,,5266,4167,160,180,0,Rural,N
LP010185,Male,,2,Graduate,Yes,2853,1250,349,60,0,Semiurban,Y
LP010186,Male,No,3,Not Graduate,No,2708,2330,330,84,1,Rural,Y
LP010187,,No,1,Graduate,,5000,3066,100,84,1,Rural,Y
LP010188,,No,,Graduate,No,1800,2383,93,120,,Urban,Y
LP010189,Female,No,3,Graduate,No,6250,1929,330,300,,Urban,N
LP010190,,Yes,0,Graduate,,3029,7750,700,480,,Semiurban,Y
LP010191,Male,No,,Not Graduate,,1863,1451,114,60,1,Urban,Y
LP010192,Female,,1,Graduate,Yes,5667,500,168,,1,Rural,Y
LP010193,Male,Yes,3,Not Graduate,No,4300,3600,154,60,0,Urban,N
LP010194,Male,,,Graduate,,2178,3066,72,84,1,Rural,Y
LP010195,,Yes,3,Graduate,,150,5625,17,120,0,Semiurban,N
LP010196,Female,No,3,Not Graduate,Yes,2645,700,63,360,0,Rural,N
LP010197,,Yes,1,Graduate,Yes,6250,983,141,,1,Urban,Y
LP010198,,Yes,2,Not Graduate,,2645,3750,25,120,0,Urban,Y
LP010199,Female,,,Not Graduate,Yes,5786,5701,168,480,0,Semiurban,Y
LP010200,Male,,1,Graduate,,3750,2083,436,,,Urban,N
LP010201,Male,No,3,Graduate,No,8000,2383,120,360,0,Semiurban,N
LP010202,Female,Yes,1,Graduate,Yes,7100,1451,74,180,1,Semiurban,Y
LP010203,Male,Yes,2,Graduate,No,3625,1666,83,180,1,Urban,N
LP010204,Female,Yes,,Graduate,No,4950,2133,76,180,0,Rural,Y
LP010205,Female,No,2,Graduate,No,3600,2000,125,300,,Semiurban,Y
LP010206,,No,0,Not Graduate,,2500,4300,267,180,1,Rural,Y
LP010207,Female,No,,Not Graduate,No,3846,3806,97,240,1,Urban,Y
LP010208,,No,2,Graduate,No,2479,3500,59,,,Rural,Y
LP010209,Male,No,3,Not Graduate,No,2266,1868,650,360,0,Rural,Y
LP010210,Male,,,Not Graduate,,3522,500,152,480,1,Rural,N
LP010211,Male,Yes,,Graduate,No,6080,2416,160,240,0,Rural,N
LP010212,Male,Yes,1,Graduate,No,5042,2142,300,240,0,Urban,N
LP010213,,Yes,3,Not Graduate,Yes,2340,500,255,360,0,Urban,Y
LP010214,Male,Yes,0,Graduate,,13650,830,47,480,0,Rural,Y
LP010215,Female,Yes,2,Not Graduate,No,2645,985,176,,1,Urban,Y
LP010216,Female,Yes,1,Graduate,Yes,13650,1500,115,84,,Urban,N
LP010217,Female,Yes,2,Not Graduate,,5316,2667,118,120,1,Semiurban,Y
LP010218,,Yes,0,Not Graduate,,7451,688,300,84,,Urban,N
LP010219,Male,,0,Not Graduate,,5316,5625,225,360,0,Rural,Y
LP010220,Male,Yes,,Not Graduate,,2200,1083,76,84,,Urban,N
LP010221,Male,,0,Graduate,,7333,2416,152,84,0,Urban,Y
LP010222,,No,2,Graduate,,3846,1330,155,84,1,Urban,Y
LP010223,Female,Yes,3,Not Graduate,No,3029,1929,315,180,1,Urban,N
LP010224,Female,No,3,Not Graduate,No,2500,736,94,60,,Semiurban,N
LP010225,Male,No,,Graduate,No,3416,2000,180,84,0,Rural,N
LP010226,Female,No,2,Graduate,No,6250,700,83,120,0,Rural,Y
LP010227,Female,,2,Not Graduate,Yes,5000,2500,88,360,,Urban,N
LP010228,,No,0,Not Graduate,No,2439,1868,114,60,0,Urban,N
LP010229,,No,2,Not Graduate,,2583,736,201,300,0,Semiurban,Y
LP010230,,No,1,Not Graduate,No,2000,2330,175,120,0,Urban,Y
LP010231,,Yes,0,Not Graduate,No,3800,3806,114,120,1,Semiurban,N
LP010232,Male,Yes,1,Graduate,,2833,3440,47,180,1,Rural,Y
LP010233,,,,Not Graduate,No,6747,2583,76,180,1,Rural,N
LP010234,Female,,3,Graduate,No,1977,4866,267,360,0,Semiurban,N
LP010235,Male,Yes,,Graduate,No,3522,688,312,120,1,Rural,N
LP010236,Female,,3,Graduate,Yes,2147,6250,97,480,0,Urban,Y
LP010237,Female,Yes,,Not Graduate,No,15000,6000,81,480,0,Urban,N
LP010238,Female,No,2,Graduate,,3366,1451,160,360,,Semiurban,N
LP010239,,No,1,Graduate,,4300,5063,59,84,0,Rural,Y
LP010240,,,3,Graduate,No,2301,1929,67,240,1,Rural,N
LP010241,Male,Yes,0,Graduate,No,3750,700,210,300,1,Semiurban,N
LP010242,Male,Yes,1,Not Graduate,No,2799,1330,58,180,0,Semiurban,N
LP010243,,,0,Not Graduate,,7200,2142,180,240,1,Rural,Y
LP010244,Female,Yes,1,Graduate,,4843,1459,113,,0,Semiurban,N
LP010245,Male,No,1,Graduate,Yes,3333,1213,88,360,,Urban,Y
LP010246,,,,Not Graduate,Yes,2333,1666,104,84,0,Rural,Y
LP010247,,,3,Not Graduate,Yes,2383,5266,158,60,0,Semiurban,N
LP010248,,Yes,3,Not Graduate,,8333,5250,115,84,,Semiurban,N
LP010249,Female,,1,Graduate,Yes,1800,2133,44,120,1,Semiurban,Y
LP010250,,Yes,2,Not Graduate,No,2577,1590,240,84,,Rural,N
LP010251,,Yes,2,Graduate,No,3666,2531,133,120,,Urban,N
LP010252,,Yes,0,Graduate,,1977,4983,35,,0,Urban,Y
LP010253,,Yes,0,Not Graduate,Yes,3522,3449,136,180,0,Rural,N
LP010254,Male,Yes,,Graduate,No,3052,2667,137,,,Semiurban,N
LP010255,Male,,1,Not Graduate,,12000,5266,113,120,1,Rural,Y
LP010256,,No,0,Graduate,Yes,3083,688,55,60,,Rural,N
LP010257,Female,No,0,Not Graduate,No,3522,7750,122,240,1,Semiurban,Y
LP010258,Male,,1,Graduate,Yes,4583,2083,315,84,,Rural,Y
LP010259,,,,Graduate,,2645,4417,95,180,,Urban,N
LP010260,Male,No,0,Not Graduate,Yes,2483,2500,94,84,1,Rural,Y
LP010261,Male,No,,Not Graduate,,13650,5063,168,84,,Semiurban,N
LP010262,Female,No,3,Not Graduate,Yes,2799,1459,104,120,0,Rural,N
LP010263,,No,,Not Graduate,No,3625,5063,267,240,,Urban,Y
LP010264,,No,2,Graduate,,9323,800,160,180,0,Rural,Y
LP010265,Female,Yes,2,Not Graduate,,3416,0,160,84,1,Rural,Y
LP010266,Female,,,Not Graduate,,2132,3750,112,84,1,Rural,Y
LP010267,,Yes,2,Graduate,Yes,2600,6000,93,300,0,Rural,Y
LP010268,,No,3,Not Graduate,Yes,2600,1250,88,360,,Semiurban,Y
LP010269,Female,No,1,Not Graduate,No,5500,5701,113,300,0,Urban,N
LP010270,Male,No,2,Graduate,,1928,1030,81,360,0,Urban,N
LP010271,Male,Yes,2,Not Graduate,,2395,2900,376,60,1,Urban,Y
LP010272,Female,Yes,,Not Graduate,Yes,2600,2000,125,300,0,Rural,N
LP010273,Male,No,3,Not Graduate,Yes,3029,5701,128,120,,Urban,Y
LP010274,Female,Yes,1,Not Graduate,No,6747,3806,67,60,0,Semiurban,Y
LP010275,Male,Yes,,Not Graduate,No,2439,985,30,480,1,Rural,N
LP010276,Male,No,,Not Graduate,Yes,4166,3449,99,180,,Rural,N
LP010277,,Yes,3,Graduate,,3625,1929,106,480,1,Urban,Y
LP010278,,,1,Not Graduate,No,5667,4300,78,180,0,Rural,Y
LP010279,Male,,3,Graduate,Yes,7100,5625,70,180,0,Rural,Y
LP010280,Male,,1,Graduate,Yes,5266,4595,128,180,1,Urban,N
LP010281,,,3,Graduate,,5667,1213,308,300,1,Semiurban,Y
LP010282,,No,,Graduate,Yes,3083,3583,267,,,Semiurban,Y
LP010283,,No,,Not Graduate,Yes,2833,1640,180,240,1,Urban,N
LP010284,Female,No,0,Not Graduate,No,24763,1666,122,480,1,Semiurban,N
LP010285,Male,,2,Not Graduate,Yes,2473,754,78,480,0,Semiurban,N
LP010286,,,3,Graduate,Yes,6080,2583,166,180,0,Semiurban,Y
LP010287,Male,Yes,0,Not Graduate,No,2000,2531,175,,1,Rural,Y
LP010288,Female,Yes,2,Not Graduate,,2708,2133,240,,1,Rural,N
LP010289,Female,,3,Not Graduate,,6080,5625,175,240,0,Rural,Y
LP010290,,,1,Graduate,No,150,5063,208,300,,Semiurban,Y
LP010291,Female,,2,Graduate,No,2708,3066,122,240,,Rural,N
LP010292,Male,,,Not Graduate,,2275,4486,312,120,,Semiurban,N
LP010293,,Yes,0,Graduate,,3800,900,201,480,,Urban,Y
LP010294,Male,,2,Graduate,,2147,1330,176,,0,Semiurban,N
LP010295,Male,Yes,2,Not Graduate,,13650,1590,182,180,1,Rural,N
LP010296,Female,,,Graduate,,3522,3167,30,,,Semiurban,Y
LP010297,Female,,3,Graduate,No,3600,4417,112,,0,Rural,Y
LP010298,Female,,1,Not Graduate,Yes,2266,1666,225,360,1,Rural,Y
LP010299,Female,Yes,,Graduate,,2000,4750,116,480,,Urban,Y
LP010300,Female,Yes,1,Graduate,,7200,1300,285,120,1,Urban,Y
LP010301,,No,3,Graduate,Yes,2577,2750,114,240,,Rural,Y
LP010302,Male,,2,Graduate,Yes,3029,7210,133,120,1,Semiurban,N
LP010303,Male,No,1,Graduate,Yes,2500,983,106,360,,Urban,N
LP010304,Male,No,0,Graduate,Yes,13650,2750,88,300,,Urban,N
LP010305,Male,Yes,0,Graduate,Yes,3600,3500,315,120,1,Rural,Y
LP010306,Female,Yes,,Graduate,Yes,2000,3750,75,,1,Semiurban,Y
LP010307,Male,No,3,Not Graduate,No,3200,6000,114,60,1,Urban,Y
LP010308,,,,Not Graduate,Yes,6400,736,201,120,0,Urban,Y
LP010309,,Yes,,Not Graduate,Yes,3800,983,175,360,0,Semiurban,Y
LP010310,Male,,,Not Graduate,No,5316,5701,120,120,1,Urban,N
LP010311,Male,,0,Graduate,Yes,150,1964,85,120,0,Semiurban,Y
LP010312,,No,0,Not Graduate,,1625,800,47,84,,Rural,N
LP010313,,No,,Not Graduate,,5667,983,175,,1,Urban,Y
LP010314,Female,No,0,Graduate,Yes,2147,1083,81,180,0,Rural,N
LP010315,,No,3,Graduate,No,2439,2133,106,300,1,Semiurban,N
LP010316,Female,Yes,,Graduate,,10513,754,96,84,,Rural,N
LP010317,Female,Yes,0,Graduate,No,2333,700,50,,,Rural,N
LP010318,Female,No,1,Graduate,,2183,3806,370,360,0,Rural,N
LP010319,Female,Yes,,Not Graduate,Yes,13650,736,139,240,,Semiurban,N
LP010320,Female,No,,Graduate,No,2071,4750,110,360,1,Semiurban,N
LP010321,Male,,3,Not Graduate,No,2132,5063,85,180,0,Semiurban,Y
LP010322,,,2,Not Graduate,No,2014,5266,495,360,1,Semiurban,Y
LP010323,Female,,2,Graduate,,2439,3806,55,84,1,Semiurban,N
LP010324,,No,3,Not Graduate,,2833,7750,210,360,1,Urban,Y
LP010325,,,3,Not Graduate,,11000,1516,128,180,,Urban,Y
LP010326,Female,Yes,3,Graduate,Yes,15000,688,59,180,1,Urban,N
LP010327,Male,,2,Not Graduate,,3600,5701,240,60,,Rural,Y
LP010328,Female,,3,Not Graduate,Yes,3750,2250,88,120,1,Rural,N
LP010329,Male,,0,Not Graduate,No,2483,6250,330,240,,Semiurban,Y
LP010330,,Yes,,Graduate,No,5786,1330,125,240,,Semiurban,N
LP010331,Male,No,,Graduate,Yes,5000,4417,139,84,,Urban,Y
LP010332,Male,Yes,1,Graduate,,2000,5625,113,180,1,Semiurban,N
LP010333,Male,No,1,Not Graduate,Yes,1928,3600,176,60,1,Rural,Y
LP010334,,No,,Graduate,No,2275,1516,175,,,Semiurban,Y
LP010335,,,0,Not Graduate,No,5316,1640,47,60,1,Urban,Y
LP010336,Male,No,2,Graduate,Yes,3500,4167,81,300,,Semiurban,N
LP010337,Male,Yes,2,Not Graduate,,3073,3263,200,360,1,Rural,N
LP010338,Female,Yes,0,Graduate,,4300,3167,201,120,,Urban,Y
LP010339,Male,No,2,Graduate,Yes,4583,1964,109,60,,Semiurban,Y
LP010340,Female,,3,Not Graduate,Yes,2479,5701,30,360,0,Rural,N
LP010341,Male,,,Graduate,,10513,1843,315,120,1,Urban,Y
LP010342,Female,Yes,,Not Graduate,No,2183,5625,308,300,1,Urban,Y
LP010343,,,0,Graduate,Yes,5166,2900,228,300,0,Rural,N
LP010344,Male,No,2,Graduate,,2266,7210,116,180,,Semiurban,N
LP010345,Male,No,1,Not Graduate,,3029,1843,122,300,,Semiurban,Y
LP010346,Male,Yes,1,Not Graduate,No,5000,1640,120,180,0,Semiurban,N
LP010347,Male,No,2,Not Graduate,No,1000,4167,349,480,0,Urban,Y
LP010348,Female,Yes,1,Graduate,No,2645,2083,100,,,Urban,Y
LP010349,Male,No,0,Not Graduate,No,150,1800,155,84,1,Semiurban,N
LP010350,,Yes,0,Graduate,No,13650,2000,308,360,0,Urban,Y
LP010351,,,2,Not Graduate,Yes,20166,1451,370,,0,Urban,N
LP010352,Male,No,1,Not Graduate,,3200,2900,285,,0,Rural,N
LP010353,,No,0,Not Graduate,Yes,2383,5701,285,240,0,Semiurban,Y
LP010354,Male,Yes,0,Not Graduate,Yes,12841,2083,184,60,0,Semiurban,N
LP010355,Male,Yes,3,Not Graduate,Yes,1977,5063,285,300,0,Semiurban,Y
LP010356,,No,3,Not Graduate,Yes,7100,2383,225,480,,Urban,N
LP010357,Male,Yes,0,Graduate,Yes,7200,3369,93,60,,Urban,Y
LP010358,,No,2,Not Graduate,No,5266,4866,308,84,0,Urban,N
LP010359,Female,,,Graduate,No,5042,3750,81,60,,Semiurban,Y
LP010360,Male,Yes,,Not Graduate,,2577,1300,700,240,1,Urban,Y
